time,temperature,load,vibration,status
2.64,32.32,4.65,0.12,normal
2.66,32.54,4.75,0.11,normal
2.68,32.37,4.68,0.11,normal
2.7,32.83,4.49,0.12,normal
2.72,33.18,4.62,0.1,normal
2.74,33.61,4.62,0.14,normal
2.76,33.69,4.67,0.1,normal
2.78,33.37,4.58,0.1,normal
2.8,33.54,4.7,0.1,normal
2.82,33.79,4.66,0.1,normal
2.84,33.54,4.72,0.1,normal
2.86,33.85,4.67,0.11,normal
2.88,33.37,4.76,0.1,normal
2.9,33.53,4.89,0.1,normal
2.92,33.77,5.03,0.1,normal
2.94,34.25,5.19,0.12,normal
2.96,34.06,5.19,0.12,normal
2.98,34.37,5.06,0.1,normal
3.0,34.81,5.03,0.1,normal
3.02,35.19,4.92,0.1,normal
3.04,35.5,4.97,0.1,normal
3.06,35.65,4.87,0.1,normal
3.08,35.43,5.02,0.1,normal
3.1,35.76,4.85,0.1,normal
3.12,35.33,4.79,0.13,normal
3.14,35.08,4.84,0.16,normal
3.16,35.48,5.03,0.13,normal
3.18,35.16,5.02,0.1,normal
3.2,35.28,4.85,0.11,normal
3.22,35.18,4.93,0.1,normal
3.24,35.1,4.93,0.14,normal
3.26,34.61,4.82,0.11,normal
3.28,34.55,5.0,0.1,normal
3.3,34.2,4.94,0.1,normal
3.32,34.56,4.97,0.11,normal
3.34,34.78,5.09,0.1,normal
3.36,34.31,5.25,0.11,normal
3.38,34.65,5.41,0.15,normal
3.4,34.24,5.31,0.14,normal
3.42,34.41,5.48,0.18,normal
3.44,34.17,5.62,0.18,normal
3.46,34.26,5.61,0.17,normal
3.48,33.79,5.51,0.19,normal
3.5,33.76,5.61,0.22,normal
3.52,33.53,5.69,0.24,normal
3.54,33.79,5.51,0.23,normal
3.56,33.37,5.56,0.25,normal
3.58,33.02,5.7,0.22,normal
3.6,33.06,5.61,0.25,normal
3.62,33.48,5.53,0.21,normal
3.64,33.58,5.71,0.25,normal
3.66,33.47,5.69,0.25,normal
3.68,33.6,5.72,0.27,normal
3.7,33.23,5.73,0.32,normal
3.72,32.91,5.53,0.31,normal
3.74,32.45,5.6,0.33,normal
3.76,32.85,5.66,0.38,normal
3.78,32.97,5.54,0.36,normal
3.8,33.15,5.72,0.4,normal
3.82,33.49,5.62,0.39,normal
3.84,33.1,5.64,0.39,normal
3.86,32.68,5.45,0.35,normal
3.88,33.09,5.48,0.36,normal
3.9,32.96,5.64,0.38,normal
3.92,33.35,5.68,0.35,normal
3.94,33.62,5.49,0.37,normal
3.96,33.64,5.5,0.41,normal
3.98,33.51,5.49,0.42,normal
4.0,33.08,5.63,0.4,normal
4.02,32.7,5.57,0.38,normal
4.04,33.04,5.69,0.35,normal
4.06,32.63,5.73,0.38,normal
4.08,32.53,5.79,0.36,normal
4.1,32.3,5.66,0.39,normal
4.12,32.75,5.5,0.37,normal
4.14,33.22,5.63,0.38,normal
4.16,33.57,5.69,0.38,normal
4.18,33.51,5.61,0.35,normal
4.2,33.58,5.57,0.33,normal
4.22,33.35,5.74,0.28,normal
4.24,32.97,5.73,0.31,normal
4.26,32.73,5.89,0.32,normal
4.28,32.63,5.96,0.29,normal
4.3,32.41,6.02,0.32,normal
4.32,32.34,5.91,0.32,normal
4.34,32.16,5.95,0.35,normal
4.36,32.07,5.76,0.33,normal
4.38,31.86,5.77,0.32,normal
4.4,31.51,5.78,0.33,normal
4.42,31.44,5.95,0.34,normal
4.44,31.34,6.06,0.34,normal
4.46,31.08,5.99,0.31,normal
4.48,31.03,6.11,0.33,normal
4.5,30.89,6.3,0.31,normal
4.52,31.27,6.35,0.28,normal
4.54,31.53,6.52,0.28,normal
4.56,32.01,6.64,0.23,normal
4.58,32.32,6.51,0.2,normal
4.6,32.76,6.54,0.18,normal
4.62,33.1,6.7,0.18,normal
4.64,32.76,6.75,0.18,normal
4.66,32.27,6.72,0.17,normal
4.68,31.89,6.87,0.14,normal
4.7,31.67,6.92,0.15,normal
4.72,32.02,7.11,0.11,normal
4.74,31.98,6.95,0.1,normal
4.76,32.31,7.08,0.1,normal
4.78,32.37,7.0,0.12,normal
4.8,31.88,6.95,0.11,normal
4.82,32.23,7.08,0.15,normal
4.84,32.06,7.17,0.17,normal
4.86,32.56,6.98,0.13,normal
4.88,32.64,6.97,0.1,normal
4.9,33.05,6.78,0.15,normal
4.92,33.54,6.69,0.18,normal
4.94,33.52,6.65,0.23,normal
4.96,33.28,6.54,0.22,normal
4.98,32.94,6.42,0.27,normal
5.0,33.0,6.23,0.22,normal
5.02,33.41,6.35,0.24,normal
5.04,33.84,6.39,0.29,normal
5.06,34.14,6.38,0.32,normal
5.08,33.98,6.23,0.3,normal
5.1,33.68,6.1,0.28,normal
5.12,33.97,5.96,0.26,normal
5.14,34.31,5.82,0.25,normal
5.16,33.86,5.71,0.21,normal
5.18,33.37,5.85,0.23,normal
5.2,33.81,5.93,0.26,normal
5.22,33.79,6.09,0.22,normal
5.24,33.5,5.98,0.2,normal
5.26,33.94,5.83,0.19,normal
5.28,34.24,5.88,0.19,normal
5.3,34.28,5.76,0.22,normal
5.32,34.27,5.61,0.2,normal
5.34,34.7,5.69,0.24,normal
5.36,34.42,5.68,0.26,normal
5.38,34.21,5.73,0.3,normal
5.4,34.13,5.59,0.29,normal
5.42,33.99,5.75,0.34,normal
5.44,33.91,5.66,0.33,normal
5.46,34.17,5.82,0.28,normal
5.48,34.04,5.77,0.26,normal
5.5,34.14,5.86,0.25,normal
5.52,34.17,5.96,0.27,normal
5.54,34.3,6.01,0.26,normal
5.56,33.96,6.16,0.26,normal
5.58,33.74,6.09,0.3,normal
5.6,34.05,6.01,0.33,normal
5.62,33.69,6.17,0.36,normal
5.64,33.6,6.28,0.34,normal
5.66,33.65,6.26,0.31,normal
5.68,33.18,6.42,0.28,normal
5.7,32.71,6.25,0.3,normal
5.72,32.81,6.35,0.28,normal
5.74,32.92,6.42,0.32,normal
5.76,32.87,6.38,0.31,normal
5.78,32.51,6.39,0.28,normal
5.8,32.48,6.2,0.24,normal
5.82,32.88,6.26,0.28,normal
5.84,32.87,6.39,0.33,normal
5.86,33.09,6.47,0.29,normal
5.88,33.04,6.29,0.26,normal
5.9,33.04,6.45,0.22,normal
5.92,32.88,6.28,0.25,normal
5.94,32.61,6.39,0.27,normal
5.96,32.72,6.37,0.29,normal
5.98,32.42,6.33,0.27,normal
6.0,32.35,6.35,0.23,normal
6.02,32.71,6.48,0.2,normal
6.04,32.41,6.52,0.22,normal
6.06,32.23,6.45,0.19,normal
6.08,31.89,6.49,0.2,normal
6.1,32.14,6.51,0.25,normal
6.12,32.49,6.43,0.22,normal
6.14,32.99,6.5,0.23,normal
6.16,33.24,6.32,0.23,normal
6.18,33.01,6.48,0.19,normal
6.2,33.21,6.49,0.23,normal
6.22,33.7,6.34,0.2,normal
6.24,33.24,6.19,0.15,normal
6.26,33.22,6.24,0.11,normal
6.28,33.64,6.4,0.1,normal
6.3,33.44,6.29,0.1,normal
6.32,33.47,6.32,0.1,normal
6.34,33.05,6.16,0.1,normal
6.36,33.47,6.17,0.1,normal
6.38,33.13,6.11,0.11,normal
6.4,32.84,6.23,0.13,normal
6.42,33.17,6.39,0.16,normal
6.44,32.73,6.33,0.16,normal
6.46,32.3,6.42,0.13,normal
6.48,32.47,6.34,0.16,normal
6.5,32.67,6.52,0.14,normal
6.52,32.7,6.33,0.15,normal
6.54,32.93,6.52,0.16,normal
6.56,33.11,6.38,0.2,normal
6.58,33.03,6.26,0.23,normal
6.6,32.57,6.1,0.26,normal
6.62,32.55,6.04,0.22,normal
6.64,32.19,5.95,0.25,normal
6.66,32.27,6.08,0.21,normal
6.68,31.89,6.05,0.2,normal
6.7,31.45,6.25,0.22,normal
6.72,31.78,6.2,0.21,normal
6.74,31.85,6.16,0.17,normal
6.76,31.73,6.03,0.19,normal
6.78,31.49,6.22,0.2,normal
6.8,31.09,6.19,0.19,normal
6.82,31.28,6.06,0.18,normal
6.84,31.38,6.0,0.22,normal
6.86,31.6,6.02,0.22,normal
6.88,31.42,6.15,0.19,normal
6.9,31.82,6.23,0.19,normal
6.92,32.01,6.09,0.2,normal
6.94,32.01,6.27,0.22,normal
6.96,32.05,6.32,0.23,normal
6.98,31.74,6.36,0.24,normal
7.0,31.27,6.31,0.2,normal
7.02,31.59,6.37,0.16,normal
7.04,31.87,6.35,0.2,normal
7.06,31.92,6.3,0.21,normal
7.08,32.18,6.41,0.22,normal
7.1,31.75,6.42,0.19,normal
7.12,32.21,6.29,0.21,normal
7.14,31.74,6.24,0.21,normal
7.16,31.46,6.15,0.2,normal
7.18,31.44,5.98,0.21,normal
7.2,31.81,5.87,0.23,normal
7.22,31.82,6.07,0.2,normal
7.24,31.46,6.22,0.24,normal
7.26,31.6,6.29,0.21,normal
7.28,31.73,6.14,0.26,normal
7.3,32.03,6.15,0.3,normal
7.32,31.93,6.27,0.26,normal
7.34,31.93,6.09,0.28,normal
7.36,32.25,5.97,0.26,normal
7.38,32.07,6.11,0.21,normal
7.4,32.2,5.96,0.2,normal
7.42,32.52,5.92,0.25,normal
7.44,33.0,5.76,0.26,normal
7.46,32.95,5.64,0.3,normal
7.48,33.44,5.61,0.29,normal
7.5,33.43,5.79,0.31,normal
7.52,32.94,5.73,0.26,normal
7.54,33.07,5.72,0.27,normal
7.56,32.58,5.59,0.22,normal
7.58,33.0,5.49,0.19,normal
7.6,32.91,5.39,0.14,normal
7.62,32.96,5.41,0.17,normal
7.64,32.96,5.22,0.18,normal
7.66,32.47,5.25,0.15,normal
7.68,32.09,5.36,0.12,normal
7.7,31.67,5.5,0.12,normal
7.72,31.67,5.66,0.14,normal
7.74,31.53,5.73,0.19,normal
7.76,31.7,5.55,0.22,normal
7.78,32.02,5.53,0.18,normal
7.8,31.54,5.6,0.16,normal
7.82,31.32,5.54,0.16,normal
7.84,31.55,5.6,0.13,normal
7.86,31.59,5.48,0.17,normal
7.88,31.36,5.61,0.2,normal
7.9,30.91,5.43,0.17,normal
7.92,30.81,5.29,0.15,normal
7.94,31.15,5.33,0.17,normal
7.96,30.96,5.36,0.19,normal
7.98,30.56,5.44,0.23,normal
8.0,30.5,5.39,0.19,normal
8.02,30.7,5.29,0.21,normal
8.04,30.73,5.32,0.16,normal
8.06,31.06,5.42,0.19,normal
8.08,31.05,5.23,0.19,normal
8.1,30.79,5.13,0.17,normal
8.12,30.88,5.24,0.13,normal
8.14,31.21,5.04,0.16,normal
8.16,31.26,5.21,0.2,normal
8.18,31.61,5.4,0.17,normal
8.2,32.1,5.32,0.16,normal
8.22,32.52,5.28,0.19,normal
8.24,32.73,5.26,0.24,normal
8.26,33.16,5.36,0.28,normal
8.28,33.11,5.47,0.27,normal
8.3,33.06,5.31,0.25,normal
8.32,32.57,5.24,0.21,normal
8.34,32.7,5.23,0.19,normal
8.36,32.76,5.38,0.19,normal
8.38,32.78,5.47,0.23,normal
8.4,32.72,5.46,0.18,normal
8.42,32.95,5.36,0.22,normal
8.44,32.71,5.4,0.18,normal
8.46,32.94,5.48,0.2,normal
8.48,33.36,5.5,0.17,normal
8.5,33.2,5.63,0.14,normal
8.52,33.15,5.75,0.1,normal
8.54,33.33,5.68,0.1,normal
8.56,33.6,5.51,0.1,normal
8.58,33.34,5.66,0.1,normal
8.6,32.92,5.74,0.14,normal
8.62,33.35,5.82,0.12,normal
8.64,33.48,5.77,0.13,normal
8.66,33.93,5.63,0.11,normal
8.68,33.77,5.6,0.13,normal
8.7,34.02,5.7,0.11,normal
8.72,33.84,5.61,0.13,normal
8.74,33.45,5.69,0.17,normal
8.76,33.11,5.65,0.15,normal
8.78,33.44,5.47,0.14,normal
8.8,33.86,5.66,0.13,normal
8.82,33.86,5.81,0.11,normal
8.84,33.65,5.68,0.1,normal
8.86,33.81,5.61,0.1,normal
8.88,33.63,5.73,0.1,normal
8.9,33.82,5.67,0.1,normal
8.92,33.61,5.85,0.13,normal
8.94,33.32,5.67,0.11,normal
8.96,33.15,5.77,0.15,normal
8.98,33.37,5.71,0.2,normal
9.0,33.41,5.89,0.2,normal
9.02,33.05,5.96,0.25,normal
9.04,33.23,5.89,0.24,normal
9.06,33.31,5.79,0.22,normal
9.08,33.61,5.74,0.24,normal
9.1,33.69,5.68,0.21,normal
9.12,33.95,5.83,0.18,normal
9.14,33.94,5.79,0.23,normal
9.16,33.96,5.6,0.27,normal
9.18,33.5,5.45,0.31,normal
9.2,33.68,5.35,0.27,normal
9.22,33.56,5.5,0.28,normal
9.24,33.72,5.3,0.29,normal
9.26,33.36,5.38,0.25,normal
9.28,33.76,5.49,0.22,normal
9.3,34.22,5.35,0.18,normal
9.32,34.12,5.4,0.14,normal
9.34,33.65,5.36,0.16,normal
9.36,33.7,5.17,0.12,normal
9.38,33.62,5.03,0.16,normal
9.4,33.98,4.98,0.14,normal
9.42,34.02,5.16,0.1,normal
9.44,34.2,5.11,0.1,normal
9.46,33.91,5.07,0.11,normal
9.48,33.52,4.87,0.14,normal
9.5,33.43,4.7,0.12,normal
9.52,33.18,4.59,0.12,normal
9.54,33.22,4.56,0.1,normal
9.56,33.02,4.58,0.1,normal
9.58,32.79,4.66,0.14,normal
9.6,32.9,4.82,0.18,normal
9.62,32.73,4.92,0.21,normal
9.64,33.11,4.82,0.16,normal
9.66,33.39,4.72,0.14,normal
9.68,33.23,4.76,0.16,normal
9.7,33.01,4.66,0.15,normal
9.72,33.28,4.52,0.12,normal
9.74,32.97,4.44,0.1,normal
9.76,32.96,4.61,0.1,normal
9.78,32.8,4.49,0.11,normal
9.8,33.28,4.6,0.1,normal
9.82,33.11,4.48,0.1,normal
9.84,32.78,4.58,0.15,normal
9.86,32.79,4.73,0.14,normal
9.88,32.7,4.59,0.12,normal
9.9,33.15,4.61,0.12,normal
9.92,32.71,4.76,0.1,normal
9.94,32.25,4.96,0.12,normal
9.96,32.48,4.96,0.14,normal
9.98,32.88,4.91,0.17,normal
10.0,32.38,5.0,0.2,normal
10.02,32.5,5.0,0.2,normal
10.04,32.6,5.07,0.16,normal
10.06,32.58,4.98,0.13,normal
10.08,32.55,4.81,0.17,normal
10.1,32.96,4.8,0.21,normal
10.12,32.86,4.88,0.19,normal
10.14,33.03,5.02,0.24,normal
10.16,32.92,5.12,0.25,normal
10.18,32.81,5.32,0.21,normal
10.2,32.73,5.33,0.19,normal
10.22,32.75,5.47,0.23,normal
10.24,32.54,5.37,0.22,normal
10.26,32.27,5.19,0.24,normal
10.28,32.55,5.24,0.23,normal
10.3,32.57,5.32,0.27,normal
10.32,32.29,5.13,0.26,normal
10.34,31.89,5.25,0.23,normal
10.36,31.76,5.15,0.18,normal
10.38,31.39,5.14,0.14,normal
10.4,31.33,5.12,0.19,normal
10.42,31.44,5.0,0.16,normal
10.44,31.56,5.02,0.19,normal
10.46,31.43,4.87,0.17,normal
10.48,31.62,4.69,0.12,normal
10.5,31.88,4.56,0.15,normal
10.52,31.92,4.6,0.16,normal
10.54,32.06,4.69,0.18,normal
10.56,31.88,4.86,0.17,normal
10.58,31.7,4.66,0.16,normal
10.6,31.32,4.56,0.17,normal
10.62,31.13,4.42,0.15,normal
10.64,31.44,4.44,0.16,normal
10.66,31.06,4.5,0.19,normal
10.68,31.45,4.47,0.21,normal
10.7,31.02,4.59,0.21,normal
10.72,30.57,4.56,0.24,normal
10.74,30.38,4.56,0.25,normal
10.76,30.32,4.74,0.3,normal
10.78,30.6,4.78,0.29,normal
10.8,30.22,4.66,0.28,normal
10.82,30.65,4.5,0.26,normal
10.84,30.19,4.36,0.22,normal
10.86,29.89,4.52,0.22,normal
10.88,29.8,4.43,0.21,normal
10.9,30.04,4.52,0.26,normal
10.92,29.87,4.36,0.25,normal
10.94,29.57,4.35,0.26,normal
10.96,29.25,4.38,0.29,normal
10.98,29.07,4.38,0.29,normal
11.0,29.11,4.2,0.32,normal
11.02,29.2,4.26,0.28,normal
11.04,28.91,4.12,0.29,normal
11.06,28.91,4.3,0.34,normal
11.08,28.48,4.46,0.31,normal
11.1,28.87,4.35,0.32,normal
11.12,29.05,4.53,0.28,normal
11.14,28.78,4.51,0.32,normal
11.16,28.41,4.48,0.32,normal
11.18,28.85,4.29,0.29,normal
11.2,28.5,4.26,0.28,normal
11.22,28.87,4.31,0.25,normal
11.24,28.76,4.42,0.28,normal
11.26,28.92,4.23,0.23,normal
11.28,29.17,4.12,0.26,normal
11.3,28.88,4.07,0.23,normal
11.32,28.51,3.91,0.27,normal
11.34,28.67,3.76,0.29,normal
11.36,28.99,3.65,0.26,normal
11.38,29.33,3.68,0.3,normal
11.4,28.86,3.82,0.32,normal
11.42,28.54,4.0,0.35,normal
11.44,28.33,3.9,0.36,normal
11.46,28.04,3.74,0.38,normal
11.48,28.27,3.72,0.38,normal
11.5,28.16,3.83,0.37,normal
11.52,28.21,3.89,0.37,normal
11.54,27.86,3.99,0.36,normal
11.56,28.17,4.12,0.37,normal
11.58,28.67,3.98,0.38,normal
11.6,28.77,3.8,0.43,normal
11.62,28.64,3.85,0.45,normal
11.64,28.22,4.04,0.48,normal
11.66,28.29,4.21,0.48,normal
11.68,28.44,4.04,0.44,normal
11.7,28.69,4.07,0.39,normal
11.72,28.62,4.13,0.41,normal
11.74,28.19,3.96,0.43,normal
11.76,28.19,4.05,0.46,normal
11.78,28.27,3.92,0.43,normal
11.8,28.39,4.08,0.45,normal
11.82,28.21,4.26,0.41,normal
11.84,28.57,4.25,0.44,normal
11.86,28.91,4.18,0.43,normal
11.88,28.62,4.03,0.46,normal
11.9,28.18,4.04,0.47,normal
11.92,28.39,4.16,0.48,normal
11.94,28.25,4.14,0.47,normal
11.96,28.45,4.32,0.45,normal
11.98,28.67,4.26,0.46,normal
12.0,29.13,4.26,0.45,normal
12.02,29.48,4.21,0.5,normal
12.04,29.14,4.05,0.45,normal
12.06,29.15,3.91,0.44,normal
12.08,29.15,4.11,0.46,normal
12.1,29.21,3.96,0.48,normal
12.12,28.96,3.88,0.49,normal
12.14,28.85,4.02,0.53,normal
12.16,28.84,4.05,0.57,normal
12.18,28.42,4.22,0.56,normal
12.2,27.99,4.37,0.58,normal
12.22,27.49,4.54,0.6,normal
12.24,27.11,4.74,0.59,normal
12.26,27.36,4.83,0.59,normal
12.28,27.56,4.74,0.55,normal
12.3,27.92,4.7,0.59,normal
12.32,27.92,4.76,0.61,normal
12.34,27.99,4.61,0.64,normal
12.36,27.84,4.61,0.59,normal
12.38,27.44,4.59,0.58,normal
12.4,27.47,4.45,0.58,normal
12.42,27.36,4.28,0.62,normal
12.44,26.91,4.11,0.6,normal
12.46,26.57,4.2,0.59,normal
12.48,26.78,4.31,0.55,normal
12.5,26.87,4.22,0.59,normal
12.52,27.03,4.34,0.6,normal
12.54,27.33,4.25,0.61,normal
12.56,27.11,4.2,0.59,normal
12.58,27.28,4.05,0.61,normal
12.6,26.9,3.9,0.61,normal
12.62,26.64,3.82,0.58,normal
12.64,26.69,3.9,0.54,normal
12.66,26.98,4.07,0.56,normal
12.68,27.4,4.06,0.6,normal
12.7,27.53,3.98,0.64,normal
12.72,27.79,4.08,0.63,normal
12.74,27.69,4.2,0.66,normal
12.76,27.63,4.14,0.65,normal
12.78,27.87,4.12,0.61,normal
12.8,27.9,3.99,0.63,normal
12.82,28.3,3.84,0.62,normal
12.84,28.12,3.8,0.64,normal
12.86,27.83,3.94,0.65,normal
12.88,27.65,3.9,0.66,normal
12.9,27.6,3.81,0.64,normal
12.92,27.66,3.7,0.67,normal
12.94,27.4,3.84,0.68,normal
12.96,27.37,3.85,0.72,normal
12.98,27.01,4.05,0.69,normal
13.0,27.39,4.06,0.69,normal
13.02,27.01,3.91,0.72,normal
13.04,26.59,3.89,0.67,normal
13.06,26.89,3.83,0.7,normal
13.08,26.41,3.94,0.74,normal
13.1,26.53,3.77,0.74,normal
13.12,26.86,3.59,0.77,normal
13.18,26.39,3.56,0.81,failure
13.18,26.55,3.51,0.79,failure
13.18,26.99,3.62,0.78,failure
13.2,27.38,3.74,0.76,failure
13.22,27.7,3.79,0.77,failure
13.24,27.77,3.81,0.78,failure
13.26,27.3,3.71,0.77,failure
13.28,27.72,3.65,0.79,failure
13.3,27.84,3.84,0.82,failure
13.32,27.89,3.99,0.86,failure
13.34,27.84,4.0,0.87,failure
13.36,28.12,3.95,0.87,failure
13.38,27.75,4.13,0.83,failure
13.4,27.72,4.17,0.84,failure
13.42,27.24,4.04,0.88,failure
13.44,27.45,4.1,0.89,failure
13.46,27.45,4.03,0.86,failure
13.48,27.4,4.17,0.87,failure
13.5,27.1,4.14,0.89,failure
13.52,27.38,3.95,0.85,failure
13.54,27.32,4.07,0.89,failure
13.56,26.85,4.15,0.9,failure
13.58,26.93,4.11,0.86,failure
13.6,27.43,4.06,0.82,failure
13.62,27.36,4.18,0.83,failure
13.64,27.42,3.98,0.87,failure
13.66,27.37,3.86,0.87,failure
13.68,27.04,3.95,0.86,failure
13.7,27.53,3.81,0.87,failure
13.72,27.6,3.83,0.91,failure
13.74,27.89,3.69,0.91,failure
13.76,27.66,3.7,0.88,failure
13.78,27.97,3.54,0.84,failure
13.8,27.59,3.62,0.84,failure
13.82,27.69,3.57,0.85,failure
13.84,27.76,3.5,0.89,failure
13.86,27.28,3.43,0.88,failure
13.88,27.68,3.59,0.83,failure
13.9,27.19,3.47,0.78,failure
13.92,27.43,3.31,0.78,failure
13.94,27.78,3.14,0.81,failure
13.96,28.06,3.08,0.79,failure
13.98,27.8,3.23,0.79,failure
14.0,28.18,3.23,0.81,failure
14.02,27.94,3.2,0.8,failure
14.04,28.05,3.11,0.84,failure
14.06,28.0,2.96,0.82,failure
14.08,28.14,2.86,0.81,failure
14.1,27.8,2.74,0.79,failure
14.12,27.71,2.74,0.76,failure
14.14,27.85,2.76,0.81,failure
14.16,27.67,2.6,0.86,failure
14.18,27.78,2.74,0.89,failure
14.2,27.32,2.76,0.89,failure
14.22,27.23,2.64,0.85,failure
14.24,27.67,2.61,0.8,failure
14.26,27.58,2.63,0.85,failure
14.28,27.8,2.81,0.82,failure
14.3,27.73,2.74,0.86,failure
14.32,27.65,2.65,0.85,failure
14.34,27.75,2.71,0.89,failure
14.36,27.37,2.75,0.9,failure
14.38,27.77,2.56,0.86,failure
14.4,28.15,2.62,0.89,failure
14.42,27.93,2.74,0.91,failure
14.44,27.78,2.67,0.92,failure
14.46,27.38,2.55,0.89,failure
14.48,27.34,2.48,0.9,failure
14.5,27.45,2.28,0.9,failure
14.52,27.65,2.42,0.9,failure
14.54,28.07,2.31,0.92,failure
14.56,28.06,2.14,0.91,failure
14.58,27.79,2,0.91,failure
14.6,27.7,2,0.87,failure
14.62,28.19,2.17,0.88,failure
14.64,28.2,2.17,0.88,failure
14.66,28.53,2.2,0.9,failure
14.68,28.93,2.4,0.93,failure
14.7,28.49,2.27,0.94,failure
